"full_id","comm_fkt","dist_wt","distance_rank","lat","lon","num_buildings"
"w1306111094","AMBODINONOKA_LAVAKIANJA",2052.49420849421,1,-20.9031936001771,47.8935692601427,10
"w1332788227","AMBODINONOKA_LAVAKIANJA",2081.45173745174,2,-20.9084275315749,47.883567974095,14
"w1306111093","AMBODINONOKA_LAVAKIANJA",2082.98262548263,3,-20.9025263038829,47.8945461101299,6
"w1306111097","AMBODINONOKA_LAVAKIANJA",2094.05984555985,4,-20.9005037754973,47.8911362639084,9
"w1306111096","AMBODINONOKA_LAVAKIANJA",2120.26254826255,5,-20.9009241909955,47.8932573536558,5
"w1310137194","AMBODINONOKA_MANAKANA NORD",2598.05816733068,1,-20.895241774354,47.7727871674066,16
"w1310137193","AMBODINONOKA_MANAKANA NORD",2600.64541832669,2,-20.8947099085487,47.7719241176254,6
"w1310137263","AMBODINONOKA_MANAKANA NORD",2616.21274900398,3,-20.8933571502618,47.7688610276423,382
"w1310137265","AMBODINONOKA_MANAKANA NORD",2674.17370517928,4,-20.8922005156068,47.7690611667522,11
"w1311195554","AMBODINONOKA_MANAKANA NORD",2687.37848605578,5,-20.8951369660052,47.7685175773981,7
"w1309531726","AMBODINONOKA_MORAFENO",932.674825174825,1,-20.9759315422335,47.8315231961058,163
"w1309531725","AMBODINONOKA_MORAFENO",1025.87762237762,2,-20.9763952390436,47.8325607921541,47
"w757854920","AMBODINONOKA_MORAFENO",1077.6048951049,3,-20.9734875436287,47.8310309253721,66
"w1331577379","AMBODINONOKA_MORAFENO",1158.66433566434,4,-20.9766707477034,47.8356711953779,5
"w1308132618","AMBODINONOKA_MORAFENO",1158.88461538462,5,-20.9776963616918,47.8349364506248,6
"w758202526","AMBODINONOKA_TSARAKIANJA SUD",1589.52216748768,1,-20.9995896298765,47.8827204680944,12
"w758211023","AMBODINONOKA_TSARAKIANJA SUD",1617.75369458128,2,-20.9998417108185,47.8846004530714,17
"w1306345419","AMBODINONOKA_TSARAKIANJA SUD",1646.35960591133,3,-21.0008866510986,47.8830895632153,7
"w758211022","AMBODINONOKA_TSARAKIANJA SUD",1718.22660098522,4,-20.9997706818946,47.8855233721883,10
"w1307224618","AMBODINONOKA_TSARAKIANJA SUD",1730.45812807882,5,-21.0020993069,47.8765652615,9
"w1310475751","AMBODINONOKA_TSARAMIADANA",2348.00821355236,1,-20.9685698541499,47.9275574735632,108
"w1310475767","AMBODINONOKA_TSARAMIADANA",2430.34907597536,2,-20.9663128012493,47.9234048960208,6
"w1310451236","AMBODINONOKA_TSARAMIADANA",2546.97741273101,3,-20.959541487021,47.9257504317634,12
"w1310290102","AMBODINONOKA_TSARAMIADANA",2560.86652977413,4,-20.957665469684,47.9277294175455,9
"w1310290101","AMBODINONOKA_TSARAMIADANA",2572.5523613963,5,-20.9589635411582,47.9276076946754,5
"w1340533388","AMBOHIMIARINA II_AMBINANIFASINA",1444.29622641509,1,-21.3425797290179,48.0165275726254,126
"w1340254018","AMBOHIMIARINA II_AMBINANIFASINA",1563.18679245283,2,-21.3449674504688,48.0107525226651,5
"w1340254008","AMBOHIMIARINA II_AMBINANIFASINA",1569.20377358491,3,-21.3465732543902,48.0123248235183,5
"w1340254039","AMBOHIMIARINA II_AMBINANIFASINA",1600.9320754717,4,-21.3415446503765,48.0096680758547,13
"w1340254034","AMBOHIMIARINA II_AMBINANIFASINA",1643.99811320755,5,-21.3421858101898,48.0091367186461,6
"w1337702043","AMBOHIMIARINA II_AMBODIARA",2051.48780487805,1,-21.3423210602376,48.0604360984354,17
"w1337693815","AMBOHIMIARINA II_AMBODIARA",2142.69647696477,2,-21.3405979766882,48.0602721868102,13
"w312026644","AMBOHIMIARINA II_AMBODIARA",2159.59620596206,3,-21.3436041940537,48.057932732054,30
"w1337702044","AMBOHIMIARINA II_AMBODIARA",2188.94308943089,4,-21.3412906990105,48.0588148970101,10
"w1337702516","AMBOHIMIARINA II_AMBODIARA",2189.76964769648,5,-21.3390714439656,48.0585588920249,6
"w1340286374","AMBOHIMIARINA II_AMBOHIMIARINA II",1773.85339506173,1,-21.3709757376107,48.0071586901705,17
"w1341285339","AMBOHIMIARINA II_AMBOHIMIARINA II",1787.37191358025,2,-21.3737996414849,48.0100078694951,9
"w1341285201","AMBOHIMIARINA II_AMBOHIMIARINA II",1791.81944444444,3,-21.3723119384184,48.0094360552879,5
"w1340483046","AMBOHIMIARINA II_AMBOHIMIARINA II",1797.50925925926,4,-21.372281119887,48.0103817862963,10
"w1341285249","AMBOHIMIARINA II_AMBOHIMIARINA II",1797.65277777778,5,-21.3727601785344,48.0073043841452,7
"w1342052558","AMBOHIMIARINA II_AMPASIMAZAVA",1118.06666666667,1,-21.4060399862727,48.0202538653655,8
"w1342048040","AMBOHIMIARINA II_AMPASIMAZAVA",1224.83859649123,2,-21.4037167003526,48.0241065238274,5
"w1342044295","AMBOHIMIARINA II_AMPASIMAZAVA",1260.29824561404,3,-21.4032480002712,48.02156264511,15
"w1342048029","AMBOHIMIARINA II_AMPASIMAZAVA",1278.39649122807,4,-21.4085064781372,48.0168221079695,5
"w1342033871","AMBOHIMIARINA II_AMPASIMAZAVA",1288.68421052632,5,-21.4020557577947,48.0185037517531,30
"w251480574","AMBOHIMIARINA II_IRONDRO",985.570602807597,1,-21.4058554423284,47.9820875610219,633
"w1342378019","AMBOHIMIARINA II_IRONDRO",1296.78612716763,2,-21.4018463570796,47.9874020082718,5
"w1342378015","AMBOHIMIARINA II_IRONDRO",1363.51197357556,3,-21.4000845518625,47.9806391198052,7
"w1342376170","AMBOHIMIARINA II_IRONDRO",1371.53757225434,4,-21.4002362574009,47.9838772131656,12
"w1342376161","AMBOHIMIARINA II_IRONDRO",1419.71428571429,5,-21.4047725478403,47.9864980742371,5
"w584134979","AMBOHIMIARINA II_MANAKANA TSIANGALY",2386.05008944544,1,-21.3275886043108,48.014188536411,14
"w1340025883","AMBOHIMIARINA II_MANAKANA TSIANGALY",2393.70781156828,2,-21.3290843638,48.0129062174809,11
"w1340025877","AMBOHIMIARINA II_MANAKANA TSIANGALY",2407.26833631485,3,-21.3287152433966,48.0118837906709,11
"w584134978","AMBOHIMIARINA II_MANAKANA TSIANGALY",2411.41383422779,4,-21.3282914649355,48.0144124998152,11
"w1340492275","AMBOHIMIARINA II_MANAKANA TSIANGALY",2413.61717352415,5,-21.3244761188781,48.0139545866328,6
"w1338565148","AMBOHIMIARINA II_SAHASONDROKA",2384.73226351351,1,-21.322941875354,47.9683646477152,12
"w1338565143","AMBOHIMIARINA II_SAHASONDROKA",2400.36148648649,2,-21.3213024178722,47.9691789137213,6
"w1338269779","AMBOHIMIARINA II_SAHASONDROKA",2402.41638513513,3,-21.3180198958168,47.9618454661728,7
"w1338565157","AMBOHIMIARINA II_SAHASONDROKA",2413.38429054054,4,-21.3224764359905,47.9690933954439,5
"w1338565133","AMBOHIMIARINA II_SAHASONDROKA",2427.77280405405,5,-21.3197206094134,47.9694724882395,11
"w1306303947","AMBOHINIHAONANA_AMBALAPAISO",1874.125,1,-21.2613015718092,47.927839517651,19
"w1306303992","AMBOHINIHAONANA_AMBALAPAISO",1923.49074074074,2,-21.2582727903779,47.9261295676446,19
"w1306303970","AMBOHINIHAONANA_AMBALAPAISO",1990.31944444444,3,-21.2620662819714,47.9314553226974,17
"w1306303978","AMBOHINIHAONANA_AMBALAPAISO",1993.05092592593,4,-21.2602583594194,47.9235762051226,24
"w1306303929","AMBOHINIHAONANA_AMBALAPAISO",2055.88425925926,5,-21.2550296935756,47.9251627490709,22
