"full_id","comm_fkt","dist_wt","distance_rank","lat","lon","num_buildings"
"w1303259935","AMBAKOBE_BEKAZAHA",2506.86827195467,4,-20.7475201771436,48.0639567508086,6
"w1247587485","AMBAKOBE_BEKAZAHA",2560.98300283286,5,-20.7427556396801,48.0755396983757,23
"w1247514882","AMBAKOBE_MAROANTOVA",2002.95497630332,1,-20.7550953150766,48.0856687424452,94
"w1247514900","AMBAKOBE_MAROANTOVA",2105.63507109005,2,-20.7535385622625,48.0842127605464,15
"w1262464157","AMBAKOBE_MAROANTOVA",2184.74170616114,3,-20.7621359342016,48.1016284380339,76
"w1247514899","AMBAKOBE_MAROANTOVA",2213.95023696682,4,-20.7525688896571,48.0843769190394,9
"w1275942350","AMBAKOBE_MAROANTOVA",2589.29383886256,5,-20.7561380930481,48.0769792156738,8
"w1249409135","AMBAKOBE_SAHAMAHITSY",1374.5,1,-20.6753827818614,48.142369081443,17
"w1249416584","AMBAKOBE_SAHAMAHITSY",1394.88043478261,2,-20.6737094040587,48.144978959245,92
"w1249416582","AMBAKOBE_SAHAMAHITSY",1469.03623188406,3,-20.6739416942457,48.1414289147839,7
"w1249409128","AMBAKOBE_SAHAMAHITSY",1539.8115942029,4,-20.6830927461749,48.1449833676235,6
"w1249409108","AMBAKOBE_SAHAMAHITSY",1648.74275362319,5,-20.6868740504084,48.1476994516161,32
"w1251156960","AMBAKOBE_SAHAMANERANA",1606.39440203562,1,-20.6577821355709,48.1451836001183,172
"w1249821618","AMBAKOBE_SAHAMANERANA",1974.59541984733,2,-20.6598103981628,48.1381517290316,6
"w1251156958","AMBAKOBE_SAHAMANERANA",1990.67175572519,3,-20.6544546552164,48.1488212428409,9
"w1249821575","AMBAKOBE_SAHAMANERANA",2023.65139949109,4,-20.6570943660501,48.1315646779363,38
"w1261815138","AMBAKOBE_SAHAMANERANA",2046.66157760814,5,-20.6605165841328,48.1481842272006,6
"w1254887498","AMBAKOBE_SAKAFOTSY",1034.57980456026,1,-20.6175880510857,48.0910402556064,182
"w1255160535","AMBAKOBE_SAKAFOTSY",1317.07166123779,2,-20.620001657036,48.0940751757821,9
"w1255160534","AMBAKOBE_SAKAFOTSY",1422.04560260586,3,-20.6148841016479,48.0940621576416,7
"w1255161151","AMBAKOBE_SAKAFOTSY",1482.3680781759,4,-20.6216630631514,48.0915589420542,5
"w1255584315","AMBAKOBE_SAKAFOTSY",1707.01954397394,5,-20.6212697252458,48.0994912779037,6
"w1282436125","AMBODIARA_AMBATOHARANANA",3086.67278287462,1,-20.6259565245916,48.033778600801,152
"w1304578258","AMBODIARA_AMBATOHARANANA",3288.77981651376,2,-20.6247806597557,48.0313092040629,8
"w1282436122","AMBODIARA_AMBATOHARANANA",3308.91896024465,3,-20.6258985847941,48.0359491231713,8
"w1304423283","AMBODIARA_AMBATOHARANANA",3385.83486238532,4,-20.631134622238,48.0397150670696,5
"w1282468595","AMBODIARA_AMBATOHARANANA",3406.78593272171,5,-20.6452170029183,48.0352327753821,9
"w1281367841","AMBODIARA_AMBODIARA",1662.50841750842,1,-20.6326079346734,47.9841079993626,274
"w1281365751","AMBODIARA_AMBODIARA",1856.76936026936,2,-20.6336949861098,47.9829797857739,13
"w1281374496","AMBODIARA_AMBODIARA",2302.99158249158,3,-20.6184142795206,47.977184519981,7
"w1278401158","AMBODIARA_AMBODIARA",2314.55387205387,4,-20.6308588311783,47.9896599398632,5
"w1281374502","AMBODIARA_AMBODIARA",2352.79292929293,5,-20.6182985727967,47.9760830959214,6
"w1283206185","AMBODIARA_AMBODILAFAKELY",2527.78571428571,1,-20.6457782247998,47.9444357410584,8
"w1283206179","AMBODIARA_AMBODILAFAKELY",2535.71875,2,-20.650067066651,47.9467971451139,5
"w1285076503","AMBODIARA_AMBODILAFAKELY",2535.9181547619,3,-20.6493342342809,47.9419388257345,14
"w1285076723","AMBODIARA_AMBODILAFAKELY",2558.08333333333,4,-20.6499854760763,47.9416640681665,6
"w1285076735","AMBODIARA_AMBODILAFAKELY",2560.8943452381,5,-20.6507186720222,47.9423457603962,11
"w1283624437","AMBODIARA_ANTANAMBAO I",1773.64168190128,1,-20.6220817231336,47.9118939191797,179
"w1283624409","AMBODIARA_ANTANAMBAO I",1848.52285191956,2,-20.6141588349866,47.9126816310257,6
"w1283624452","AMBODIARA_ANTANAMBAO I",1854.93967093236,3,-20.6133206672181,47.9124903034993,5
"w1283624468","AMBODIARA_ANTANAMBAO I",1879.12979890311,4,-20.6227486420151,47.9108285867845,5
"w1295606372","AMBODIARA_ANTANAMBAO I",1880.33820840951,5,-20.6063870466827,47.9059342930455,157
"w1278412104","AMBODIARA_MAROSAKAIZA",1602.84188034188,1,-20.6398514091516,47.9976868881232,82
